element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_10,10,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Hot rolled structural steel, AISC - EPD",89824,Calculated from takeoff from Revit,"Steel, hot rolled structural steel",A5: Construction,Enhanced Waste Management,2322.167775786656,-2.2837752,0.0,12.456366238059521,0.29333714795347204,80.30834481440961,1.282191494957632e-06
Element_11,11,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Hot rolled structural steel, AISC - EPD",44674,Calculated from takeoff from Revit,"Steel, hot rolled structural steel",A5: Construction,Enhanced Waste Management,1154.9310119288061,-1.13583645,0.0,6.1951784079875205,0.145891340261772,39.94138533397461,6.37698419639932e-07
Element_12,12,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",A5: Construction,Enhanced Waste Management,11251.192859103097,-152.12694735739998,0.0,28.31378788298032,1.972086019256352,621.9230016139436,9.606639252427123e-07
Element_13,13,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod",65267,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,1946.8501269480437,-9.985850999999998,0.0,8.256869683458094,0.2589580958600556,104.94134077553056,-8.043522959842437e-06
Element_14,73,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Insulation,"Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette","3.5"" Mineral wool insulation",A5: Construction,Enhanced Waste Management,661.2569261548961,-33.79864,0.0,4.78362321228032,0.120491558216352,27.353816518993597,1.629581105357871e-05
Element_15,74,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Wall structure,Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette","6"" galvanized steel stud framing",A5: Construction,Enhanced Waste Management,565.1782438707149,-4.496318625,0.0,2.2118846794727998,0.10122220558382998,32.2926590461065,7.07433513816123e-06
Element_16,75,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Exterior finish,"Tulipwood lumber, 1 inch",25945,"Kaleidoscope Calculator, Payette","6"" x 1' Tulipwood/Poplar lumber",A5: Construction,Enhanced Waste Management,1371.1147127726301,-2204.02775,0.0,5.845228267349601,0.5218299197620601,120.89359336913299,4.5456496309536e-07
Element_17,76,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Exterior finish,"Wood stain, water based",208,"Kaleidoscope Calculator, Payette",Water based stain,A5: Construction,Enhanced Waste Management,14.070999024992004,0.10088000000000003,0.0,0.03507817374463999,0.003446500135103995,1.0111590743071999,9.342178149824e-09
Element_18,77,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Support,"Aluminum extrusion, AEC - EPD",2717,"Kaleidoscope Calculator, Payette",Aluminum extrusion,A5: Construction,Enhanced Waste Management,1040.975883756237,-10.873434000000001,0.0,6.422775332585042,0.146083401400794,65.4592579579367,2.4440473907821405e-07
Element_19,78,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Support,Galvanized steel,4039,"Kaleidoscope Calculator, Payette",Galvanized steel support system,A5: Construction,Enhanced Waste Management,536.904431713482,-10.13789,0.0,2.8462712353454402,0.123494750478484,42.79155573816621,1.1833054611730604e-05
Element_20,79,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,AVB,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",AVB membrane,A5: Construction,Enhanced Waste Management,284.15316487386406,1.0750399999999993,0.0,1.32225455573888,0.072582192834768,19.3819028091224,5.7593309626508e-08
Element_21,80,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Wall structure,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",Sheathing,A5: Construction,Enhanced Waste Management,1234.239843283524,-47.20716000000001,0.0,5.16525109708608,0.467647248371688,71.7022739794284,4.4386609742830274e-05
Element_22,81,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Interior finish,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Gypsum wall board,A5: Construction,Enhanced Waste Management,723.5503673004959,-1.8386400000000047,0.0,1.27754937983232,0.07733913132355198,31.5161737279536,3.61431969501912e-07
Element_23,82,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Interior finish,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Acrylic latex paint,A5: Construction,Enhanced Waste Management,65.92773319096601,1.2725000000000002,0.0,0.25569363863472,0.013455268503691995,5.112824427030599,2.2437517108252002e-08
Element_24,83,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Thermal break,"Adhesive, polychloroprene (neoprene)",96,"Kaleidoscope Calculator, Payette",Thermal break,A5: Construction,Enhanced Waste Management,6.70226455104,0.02352,0.0,0.013486389196800001,0.0010821060364799974,5.142690320064,2.7677630908800013e-09
Element_25,1,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT2,Glazing: triple pane IGU,Glazing,"Glazing, triple, insulated (air)",54275,"Viracon triple pane IGU, 1-5/16"" Clear Insulating Low-E Laminated  Glass Unit with a ½” VTS Airspace  and Both Lites Heat Treated",Triple pane IGU,A5: Construction,Enhanced Waste Management,414.68865951695,2.4966499999999994,0.0,3.0454248810439997,0.13482907118589998,43.684647277245006,3.4992077840914996e-07
Element_26,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM membrane,A5: Construction,Enhanced Waste Management,2672.721578472036,-33.13674,0.0,7.42966897038912,0.753495828481032,104.0337859145676,1.28340844264542e-07
Element_27,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,Polyisocyanurate board,A5: Construction,Enhanced Waste Management,2240.68898437125,-81.06405,0.0,8.6244838803,0.7764482836425,102.446492253375,0.00010259470145845126
