element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_15,7,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,77617.81215824487,-617.4944244999999,0.0,303.7654959809312,13.901182900179318,4434.858508998626,0.000971542025640809
Element_16,8,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Exterior finish,Enamel paint,"Paint, enamel, solvent based",661,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,4028.8329982830155,43.626,0.0,46.204153101870716,0.8056184292757915,2858.647214101685,1.2813042005943521e-06
Element_17,9,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Exterior finish,Formed steel sheet,"Steel, sheet",11388,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,59980.52780883821,-250.9368576,0.0,235.17258073959937,10.773867637543294,3443.280184928813,0.000753664802704647
Element_18,10,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Support,Galvanized steel support,Galvanized steel,4039,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,23623.79499539321,-446.06716,0.0,125.23593435519936,5.433769021053296,1882.828452479313,0.0005206544029161466
Element_19,11,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,22188.877930548544,-56.38496000000015,0.0,39.17818098152448,2.3717333605889275,966.4959943239104,1.1083913731391967e-05
Element_20,12,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Support,Stainless steel fasteners,"Fasteners, stainless steel",323,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,4075.253434962402,-257.7655311,0.0,50.03408967587185,5.757319421167524,279.6587690621382,0.00024037088642048292
Element_21,13,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,12502.739254450018,47.30175999999997,0.0,58.17920045251072,3.1936164847297914,852.8037236013856,2.534105623566352e-06
Element_22,14,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,37850.02186069474,-1447.6862400000002,0.0,158.4010336439731,14.341182283398432,2198.8697353691377,0.001361189365446795
Element_23,15,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Thermal break,Thermal break,"Adhesive, polychloroprene (neoprene)",96,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,562.99022228736,1.9756799999999999,0.0,1.1328566925312,0.09089690706431959,431.985986885376,2.324920996339201e-07
Element_24,16,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Rainscreen: formed steel panel,B2-B5: Replacement,RICS Replacement Rates,2900.820260402504,55.99000000000001,0.0,11.25052009992768,0.5920318141624475,224.96427478934638,9.87250752763088e-07
Element_25,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Glazing: double pane IGU,B2-B5: Replacement,RICS Replacement Rates,57046.53344865276,-28.557144000000076,0.0,428.07877467971616,18.770494495066778,6031.811711236727,4.602912966513616e-05
Element_26,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM roofing,B2-B5: Replacement,RICS Replacement Rates,81963.4617398091,-1016.1933600000001,0.0,227.84318175859968,23.10720540675165,3190.3694347134065,3.935785890779289e-06
Element_27,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,EPDM roofing,B2-B5: Replacement,RICS Replacement Rates,68714.462187385,-2485.9642,0.0,264.4841723292,23.81108069837,3141.6924291035,0.0031462375113925005
