element_index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (BEAM Material),Building Material_name,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_10,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Exterior finish,"Brick, generic",3115930.0,"Brick, Clay, Generic Modular / 3-5/8"" x 2-3/4"" x 7-5/8"" incl. 3/8"" mortar / Brick Industry Association / [Industry Avg | US-Canada]",Brick,A5: Construction,52210.49334156408,-46.738949999999726,0.0,0.0,113.32125001543359,6.043436821316961,2248.582808724328,2.4506434333684997e-05
Element_11,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Exterior finish,Mortar type N,5498.7,,Type N mortar,A5: Construction,119.5305831612216,1.4654943925052066e-15,0.0,0.0,0.33187440449347194,0.03776830052461917,7.76374082854056,1.2970118063747522e-07
Element_12,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Wall structure,"Oriented strandboard (OSB), AWC - EPD",1849.0,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]",Oriented strandboard (OSB),A5: Construction,177.281765968272,-201.1712,0.0,283.41472,1.6200054432422402,0.248337117522464,14.9581946373552,2.07792562588984e-07
Element_13,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Wall structure,"Domestic softwood, US, AWC - EPD",3017.0,Wood / SPF / 2x6 Lumber / AWC & CWC [Industry Avg | US & CA],Light wood framing,A5: Construction,225.04993468375602,-382.5556000000001,0.0,434.448,1.27494228349152,0.086545228203672,15.6257095120196,1.0803593430963198e-07
Element_14,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Insulation,"Expanded polystyrene (EPS), board",129.0,"EPS foam board / Type II / R 4.0-inch, 15 psi / EPS Industry Alliance [Industry Avg | US & CA]","Expanded polystyrene (EPS), board",A5: Construction,69.458084782911,0.17801999999999998,0.0,0.0,0.15499705101911998,0.013657275892782,4.0658472410301,3.7057996080792006e-08
Element_15,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Insulation,"Fiberglass blanket insulation, paper faced",236.0,Fiberglass batt / NAIMA / R 4.4-inch [Industry Avg | N.America],"Fiberglass blanket insulation, paper faced",A5: Construction,58.858867495232,-7.693600000000001,0.0,2.257104,0.28923846380544005,0.019959713721984,3.557058547091201,3.6381109178231047e-06
Element_16,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Interior finish,"Wall board, gypsum, natural",1540.0,"Drywall 1/2"" [BEAM Avg | US & CA]",Gypsum wall board,A5: Construction,72.72337590672001,-0.18480000000000046,0.0,0.0,0.12840530250239998,0.00777328431264,3.167661371952,3.632719181784001e-08
Element_17,Residential,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT3,Glazing: operable window,Glazing,"Glazing, double, insulated (air)",500.0,Window - double-glazed / Vinyl frame / BfCA Study [US & CA],Double pane IGU,A5: Construction,7.990509618,-0.0040000000000000105,0.0,0.0,0.059961006559999995,0.0026291837159999987,0.8448760438000001,6.4473015459999985e-09
Element_18,Residential,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT3,Glazing: operable window,Glazing,"Window frame, vinyl, fixed",66.0,Window - double-glazed / Vinyl frame / BfCA Study [US & CA],"Window frame, vinyl, fixed",A5: Construction,18.478903529856,-0.07128000000000001,0.0,0.0,0.04796980100352,0.005486913391872,0.7796103655296001,3.4887879148320003e-09
Element_19,Residential,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR2,Asphalt shingle roofing,Waterproofing system,"SBS modified asphalt, strip, ARMA - EPD",1441.0,Asphalt Shingles / Asphalt Roofing Manufacturers Association / Fiberglass Asphalt Shingles [Industry Avg | US & CA],SBS modified asphalt shingles,A5: Construction,282.72705449419203,-7.781400000000001,0.0,0.0,1.2499042506086402,0.06058692878550401,19.5634223320272,4.4853298120224e-08
Element_20,Residential,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR2,Asphalt shingle roofing,Waterproofing system,"Self-adhering, polymer-modified asphalt sheet underlayment",26.0,Ceiling Sheet Barrier / [BEAM Avg],"Self-adhering, polymer-modified asphalt sheet underlayment",A5: Construction,2.199131503712,0.00832,0.0,0.0,0.010233254487040003,0.000561731511744,0.15000133145920003,4.4572884366400017e-10
Element_21,Residential,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR2,Asphalt shingle roofing,Insulation,"Fiberglass blanket insulation, paper faced",750.0,Fiberglass loose fill / NAIMA / R 2.2-inch [Industry Avg | N.America],"Fiberglass blanket insulation, paper faced",A5: Construction,187.051485684,-24.450000000000003,0.0,7.173000000000001,0.91919003328,0.063431293608,11.3042114844,1.1561793171048e-05
