element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_16,22,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,Support,Galvanized steel shelf angle with knife plate,Galvanized steel,12117,"Kaleidoscope Calculator, Payette",MV: granite,32214.265902808922,,,170.7762741207264,7.409685028709039,2567.4933442899724,0.0007099832767038361
Element_17,23,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,Insulation,"4"" mineral wool insulation","Mineral wool, low density, NAIMA - EPD",9412,"Kaleidoscope Calculator, Payette",MV: granite,14878.676043437441,,,107.6343812430848,2.71113207251328,615.477219882304,0.00036666548801396367
Element_18,24,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",MV: granite,5683.063297477281,,,26.4450911147776,1.4516438566953598,387.638056182448,1.15186619253016e-06
Element_19,25,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",MV: granite,16456.53124378032,,,68.8700146278144,6.23529664495584,956.030319725712,0.000591821463237737
Element_20,26,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",MV: granite,37678.549591381,,,147.45897863151998,6.748147038921999,2152.8439364071,0.000471622342544082
Element_21,27,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",MV: granite,9647.338230673278,,,17.0339917310976,1.0311884176473598,420.215649706048,4.81909292669216e-06
Element_22,28,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",MV: granite,1318.55466381932,,,5.1138727726944,0.2691053700738399,102.25648854061198,4.4875034216504e-07
Element_23,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Glazing: double pane IGU,112963.43257158961,,,847.680741940032,37.1692960298352,11944.18160640936,9.11467914161112e-05
Element_24,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM roofing,106908.86313888145,,,297.18675881556476,30.139833139241283,4161.351436582704,5.133633770581681e-06
Element_25,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,EPDM roofing,89627.55937485001,,,344.979355212,31.0579313457,4097.859690135,0.00410378805833805
