element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_15,62,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,77617.81215824487,-617.4944244999999,0.0,303.7654959809312,13.901182900179318,4434.858508998626,0.000971542025640809
Element_16,63,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Support,Galvanized steel backer tray,Zinc coating (galvanized) for steel G60,425,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,11977.3507487106,186.25199999999998,0.0,44.820104142352,2.2904896166371995,668.25556415046,3.0629421593320004e-07
Element_17,64,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Exterior finish,"3/4"" Brick","Brick, generic",74168,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,52195.848605905536,-46.725839999999714,0.0,113.28946407270911,6.041741672908032,2247.9520944994174,2.4499560423297803e-05
Element_18,65,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Exterior finish,Type S mortar,Mortar type S,11329,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,7611.678230297105,-112.04380999999995,0.0,17.676008285559682,1.2322364934076482,421.67088047420646,4.097969014850289e-06
Element_19,66,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Support,"Steel, sheet","Steel, sheet",16759,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,88269.55264737616,-369.2879168,0.0,346.08862667851656,15.855220208780128,5067.25786961907,0.0011091208665724604
Element_20,67,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Support,Galvanized steel support system,Galvanized steel,4039,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,23623.79499539321,-446.06716,0.0,125.23593435519936,5.433769021053296,1882.828452479313,0.0005206544029161466
Element_21,68,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,12502.739254450018,47.30175999999997,0.0,58.17920045251072,3.1936164847297914,852.8037236013856,2.534105623566352e-06
Element_22,69,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,37850.02186069474,-1447.6862400000002,0.0,158.4010336439731,14.341182283398432,2198.8697353691377,0.001361189365446795
Element_23,70,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,2900.820260402504,55.99000000000001,0.0,11.25052009992768,0.5920318141624475,224.96427478934638,9.87250752763088e-07
Element_24,71,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,22188.877930548544,-56.38496000000015,0.0,39.17818098152448,2.3717333605889275,966.4959943239104,1.1083913731391967e-05
Element_25,72,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Thermal break,Thermal break,"Adhesive, polychloroprene (neoprene)",96,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,562.99022228736,1.9756799999999999,0.0,1.1328566925312,0.09089690706431959,431.985986885376,2.324920996339201e-07
Element_26,1,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT2,Glazing,Triple pane IGU,"Glazing, triple, insulated (air)",54275,"Viracon triple pane IGU, 1-5/16"" Clear Insulating Low-E Laminated  Glass Unit with a ½” VTS Airspace  and Both Lites Heat Treated",Glazing: triple pane IGU,B2-B5: Replacement,RICS Replacement Rates,83767.1092224239,504.32329999999985,0.0,615.175825970888,27.235472379551798,8824.29875000349,7.06839972386483e-05
Element_27,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM roofing,B2-B5: Replacement,RICS Replacement Rates,81963.4617398091,-1016.1933600000001,0.0,227.84318175859968,23.10720540675165,3190.3694347134065,3.935785890779289e-06
Element_28,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,EPDM roofing,B2-B5: Replacement,RICS Replacement Rates,68714.462187385,-2485.9642,0.0,264.4841723292,23.81108069837,3141.6924291035,0.0031462375113925005
