element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities)
Element_11,103,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Structural columns,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",107537,Calculated from takeoff from Revit
Element_12,104,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit
Element_13,105,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit
Element_14,53,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Insulation,"4.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",10632,"Kaleidoscope Calculator, Payette"
Element_15,54,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette"
Element_16,55,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Support,Galvanized steel support system,Galvanized steel,97036,"Kaleidoscope Calculator, Payette"
Element_17,56,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette"
Element_18,57,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette"
Element_19,58,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette"
Element_20,59,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Exterior finish,Glass fiber reinforced concrete (GFRC) Panel,GFRC,170263,"Kaleidoscope Calculator, Payette"
Element_21,60,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette"
Element_22,1,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT2,Glazing: triple pane IGU,Glazing,Triple pane IGU,"Glazing, triple, insulated (air)",54275,"Viracon triple pane IGU, 1-5/16"" Clear Insulating Low-E Laminated  Glass Unit with a ½” VTS Airspace  and Both Lites Heat Treated"
Element_23,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,
Element_24,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,
